================================================================================
个人中心未翻译字符串详细清单
================================================================================


【会员账号相关】(24 项)
------------------------------------------------------------
  行 3037, 3040, 3063 | 未登录
  行 4338            | ✓ 带水印
  行 4339, 4340, 4341 | ✓ 无水印
  行 4364            | 【高级功能】
  行 4437            | 引荐返现比例
  行 4455            | 1v1咨询服务
  行 6043            | 测试日期匹配功能

【支付流程相关】(20 项)
------------------------------------------------------------
  行 4594            | 显示支付方式选择对话框
  行 4609            | 选择支付方式
  行 4662            | 💚 微信支付
  行 4675            | 💳 国际支付 (Stripe)
  行 4747            | 创建支付选项卡片
  行 4839            | 处理微信支付
  行 4849            | [支付调试] 微信支付 - plan_type: {plan_id}, pay_type: {pay_type}
  行 4856, 5037      | [支付调试] 订单创建结果: {result}
  行 4874, 5058      | 等待支付
  行 4878, 5062      | 支付完成后，此窗口将自动关闭。
  行 4894, 5084      | 渠道
  行 4902            | 2. 联系支付服务商客服（zpayz.cn）
  行 4910, 5102      | • 支付方式: {pay_type}
  行 4917            | 处理Stripe国际支付
  行 4989            | Stripe支付异常: {str(e)}
  行 5009            | 处理前往付费按钮点击 - 使用真实支付流程
  行 5030            | [支付调试] 准备创建订单 - plan_type: {self.selected_plan_id}, pay_type: {pay_type}
  行 5093            | 3. 联系支付服务商客服（zpayz.cn）
  行 5109            | 检查支付状态
  行 5131            | 停止支付状态轮询

【UI界面文本】(14 项)
------------------------------------------------------------
  行 3469            | 绑定卡片点击事件，使用weakref避免循环引用
  行 4173            | 点击邀请函底部按钮后的处理
  行 5494, 5903      | 确认删除
  行 5515            | 确认清空
  行 5669            | 选择模板
  行 5670            | 请选择要加载的自定义模板:
  行 5688, 5868, 6160 | 确认加载模板
  行 6314            | 选择时间标记图片
  行 6340            | 选择颜色
  行 6584            | 刷新配额状态（同步版本，用于按钮点击）
  行 6673            | ⚠️ 无法连接云服务（请点击刷新重试）
  行 6684            | 处理AI生成按钮点击
  行 6774            | 确认替换
  行 6796            | 记得点击【保存所有设置】按钮来保存更改

【提示消息】(30 项)
------------------------------------------------------------
  行 4985            | [STRIPE ERROR] 创建会话失败: {error_msg}
  行 5641, 6031      | 保存成功
  行 5645            | 保存失败
  行 5707, 5887, 6179 | 加载成功
  行 5755            | 成功加载 {len(templates)} 个模板按钮
  行 5758            | 重新加载模板按钮失败: {e}
  行 5772            | 加载自定义模板元数据失败: {e}
  行 5785            | 保存自定义模板元数据失败: {e}
  行 5812            | 成功加载 {len(templates)} 个自定义模板到下拉框
  行 5815            | 重新加载自定义模板下拉框失败: {e}
  行 5924            | 删除成功
  行 5927            | 删除失败
  行 5979            | 加载模板自动应用设置失败: {e}
  行 6039            | 保存模板自动应用设置失败: {e}
  行 6137            | 测试模板匹配失败: {e}
  行 6361            | 配置文件JSON解析错误: {e}
  行 6363            | 加载配置文件失败: {e}
  行 6373            | 任务文件JSON解析错误: {e}
  行 6375            | 加载任务文件失败: {e}
  行 6543            | 时间错误
  行 6563            | 时间重叠警告
  行 6622            | 配额查询返回错误状态码: {response.status_code}
  行 6625            | 配额查询失败: {str(e)}
  行 6670            | AI状态定时器已停止（配额检查成功）
  行 6680            | 配额查询失败，可能是云服务冷启动或网络问题，5秒后重试...
  行 6765            | 生成失败
  行 6793            | 生成成功
  行 6812            | 发生错误
  行 6822            | AI生成失败的回调
  行 6826            | AI生成失败

【其他】(105 项)
------------------------------------------------------------
  行 3016            | 创建个人中心标签页
  行 3045            | 高级版
  行 3082, 3095      | 到期后不会自动扣费
  行 3104            | 永久有效
  行 3107, 4446      | 专属合伙人社群
  行 3107            | 共同成长,分享价值
  行 3243            | 感谢您的支持！
  行 3300            | • 模板自动应用：根据日期规则自动切换任务模板
  行 3346            | 欢迎回来，{user_info.get(
  行 4064            | 下班
  行 4115            | 的踏实感。
  行 4118            | 工作配色和休息配色的切换，让我学会了按时下班。
  行 4293            | 免费版
  行 4346            | AI 智能任务规划
  行 4369            | 主题自定义
  行 4430            | 30天
  行 4431            | 365天
  行 4432            | 永久
  行 4928            | [STRIPE] 创建Stripe Checkout Session - plan_type: {plan_id}
  行 4953            | [STRIPE] Checkout Session创建结果: {result}
  行 4954            | [STRIPE] API返回结果: {result}
  行 4962            | [STRIPE] 打开Checkout URL: {checkout_url}
  行 4982            | • 邮箱: {email}
  行 5139            | 时间轴任务时间改变时更新表格
  行 5186            | 表格项改变时的处理(任务名称修改)
  行 5201            | 从表格刷新时间轴
  行 5234            | 加载任务到表格（优化性能，分批创建UI组件）
  行 5381            | 添加新任务,自动接续上一个任务的结束时间
  行 5420            | 新任务
  行 5492            | 删除任务
  行 5495            | 确定要删除第 {row + 1} 个任务吗?
  行 5513            | 清空所有任务
  行 5528            | 在初始化时默认加载24小时模板(静默加载,不弹窗)
  行 5542            | 将当前任务保存为自定义模板
  行 5544            | 无法保存
  行 5544            | 当前没有任何任务,无法保存为模板!
  行 5621            | 自定义模板 ({len(tasks)}个任务)
  行 5658            | 没有自定义模板
  行 5718            | 重新加载模板按钮（当template_manager延迟初始化完成后调用）
  行 5721            | TemplateManager尚未初始化，延迟500ms后重试
  行 5727            | template_layout未找到，无法重新加载模板按钮
  行 5730            | TemplateManager已初始化，重新构建模板按钮
  行 5762            | 获取自定义模板元数据
  行 5777            | 保存自定义模板元数据
  行 5790            | 重新加载自定义模板下拉框
  行 5793            | custom_template_combo未找到
  行 5805            | (暂无自定义模板)
  行 5809            | , 0)}个任务)
  行 5819            | 加载选中的自定义模板
  行 5837            | 删除选中的自定义模板
  行 5854            | 通过文件名加载自定义模板
  行 5898            | 删除自定义模板
  行 5904            | 确定要删除模板 
  行 5924            |  已删除
  行 5931            | 加载模板自动应用设置到表格
  行 5934            | TemplateManager未初始化，延迟加载自动应用设置
  行 5976            | 已加载 {len(templates)} 个模板的自动应用设置
  行 5982            | 保存表格中的自动应用设置到templates_config.json
  行 6032, 6034      | 已保存 {updated_count} 个模板的自动应用设置
  行 6054            | 测试模板匹配
  行 6091            | 测试日期: {test_datetime.strftime(
  行 6093            |   - weekday: 工作日
  行 6094            |   - weekend: 周末
  行 6095            |   - holiday: 节假日
  行 6105            | ]} (优先级: {priority}, 条件: {
  行 6105            | 任意
  行 6110            |    → 将自动加载: {best_match[
  行 6112            |   (无匹配模板)
  行 6114            |    → 将使用默认24小时模板
  行 6141            | 加载预设模板
  行 6147            | 模板不存在
  行 6189            | 设置预设高度
  行 6194            | 高度值改变时更新按钮状态
  行 6198            | 更新预设高度按钮的选中状态
  行 6234            | 更新自启动状态标签
  行 6239            | (将在开机时自动启动)
  行 6242            | (未启用)
  行 6246            | 时间标记类型改变时的处理
  行 6269            | 设置预设标记大小
  行 6274            | 标记大小改变时更新按钮状态
  行 6278            | 更新预设标记大小按钮的选中状态
  行 6316            | 图片文件 (*.jpg *.jpeg *.png *.gif *.webp)
  行 6348            | 更新颜色预览
  行 6355            | 加载配置
  行 6367            | 加载任务
  行 6379            | 检查任务时间是否重叠
  行 6406            | 保存所有设置
  行 6437, 6439      | 自启动设置{
  行 6437, 6439      | 禁用
  行 6580            | 标签页切换时，控制AI状态定时器
  行 6588            | 异步刷新配额状态（不阻塞UI）
  行 6592            | ⏳ 正在连接云服务...
  行 6647            | 配额状态检查完成回调
  行 6656            | ✓ 今日剩余: {daily_plan_remaining} 次规划
  行 6661            | ⚠️ 今日配额已用完
  行 6698            | 输入为空
  行 6707            | 请稍候
  行 6708            | AI正在处理上一个请求,请稍候...
  行 6717            | AI服务正在初始化
  行 6718            | AI服务正在后台启动中,请稍候片刻再试...
  行 6728            | ⏳ AI正在生成...
  行 6757            | AI生成完成的回调
  行 6766            | AI未能生成任何任务,请尝试更详细地描述您的计划。
  行 6819, 6832      | ✨ 智能生成任务
  行 6835            | 创建关于标签页
